ref_id,transaction_id,date,transaction_type,amount_usd,document_number,source,posted_at
938179767,,,,,,imported before this tool,
935815311,,,,,,imported before this tool,
935775365,,,,,,imported before this tool,
937286537,,,,,,imported before this tool,
937286529,,,,,,imported before this tool,
937286518,,,,,,imported before this tool,
937864714,,,,,,imported before this tool,
937674501,,,,,,imported before this tool,
935513565,,,,,,imported before this tool,
935513557,,,,,,imported before this tool,
935513552,,,,,,imported before this tool,
934102176,,,,,,imported before this tool,
934102175,,,,,,imported before this tool,
934041815,,,,,,imported before this tool,
933869766,,,,,,imported before this tool,
935735506,,,,,,imported before this tool,
939357359,,,,,,imported before this tool,
938550170,,,,,,imported before this tool,
938550154,,,,,,imported before this tool,
938550147,,,,,,imported before this tool,
939663936,,,,,,imported before this tool,
938318735,,,,,,imported before this tool,
936758832,,,,,,imported before this tool,
936758821,,,,,,imported before this tool,
936758811,,,,,,imported before this tool,
937772234,,,,,,imported before this tool,
934938465,,,,,,imported before this tool,
934938454,,,,,,imported before this tool,
934938444,,,,,,imported before this tool,
936076263,,,,,,imported before this tool,
935818691,,,,,,imported before this tool,
934643608,,,,,,imported before this tool,
933105858,,,,,,imported before this tool,
933105848,,,,,,imported before this tool,
933105840,,,,,,imported before this tool,
934290047,,,,,,imported before this tool,
934187217,,,,,,imported before this tool,
933913717,,,,,,imported before this tool,
933913716,,,,,,imported before this tool,
933901064,,,,,,imported before this tool,
931215641,,,,,,imported before this tool,
931215628,,,,,,imported before this tool,
931215624,,,,,,imported before this tool,
930789214,,,,,,imported before this tool,
930789213,,,,,,imported before this tool,
930789212,,,,,,imported before this tool,
939568074,,,,,,imported before this tool,
939568066,,,,,,imported before this tool,
938319115,,,,,,imported before this tool,
938319111,,,,,,imported before this tool,
937849062,,,,,,imported before this tool,
937849056,,,,,,imported before this tool,
937620959,,,,,,imported before this tool,
937620930,,,,,,imported before this tool,
935886404,,,,,,imported before this tool,
935886376,,,,,,imported before this tool,
934706794,,,,,,imported before this tool,
934706785,,,,,,imported before this tool,
933871484,,,,,,imported before this tool,
933871477,,,,,,imported before this tool,
932602158,,,,,,imported before this tool,
932602140,,,,,,imported before this tool,
939682264,,,,,,imported before this tool,
939682258,,,,,,imported before this tool,
939308414,,,,,,imported before this tool,
939308405,,,,,,imported before this tool,
938317460,,,,,,imported before this tool,
938317453,,,,,,imported before this tool,
